로그인시각,유형,지사,활동대상구분,구역
2026-08-10 07:53:54,마스터관리자,전체,-,-
2026-08-10 11:35:42,지사관리자,강릉,-,-
2026-08-10 13:14:34,마스터관리자,전체,-,-
2026-08-10 13:24:36,현장직원,강북,SP,G000102
2026-08-10 13:24:38,현장직원,원주,SP,P000207
2026-08-10 13:27:16,현장직원,중앙,SP,G000406
2026-08-10 13:28:07,현장직원,중앙,SP,G000405
2026-08-10 13:28:20,현장직원,고양,SP,G000301
2026-08-10 13:28:43,현장직원,중앙,SP,G000404
2026-08-10 13:28:49,현장직원,의정부,SP,G000504
2026-08-10 13:29:32,현장직원,남양주,SP,G000602
2026-08-10 13:30:52,현장직원,의정부,SP,G000506
2026-08-10 13:33:52,지사관리자,중앙,-,-
2026-08-10 13:38:33,현장직원,의정부,SP,G000503
2026-08-10 13:39:43,현장직원,강릉,SP,P000102
2026-08-10 13:40:09,현장직원,중앙,SP,G000405
2026-08-10 13:40:22,현장직원,강릉,SP,P000102
2026-08-10 13:40:25,현장직원,중앙,SP,G000404
2026-08-10 13:41:00,현장직원,중앙,SP,G000404
2026-08-10 13:43:58,현장직원,강릉,SP,P000102
2026-08-10 13:44:20,현장직원,서대문,SP,G000203
2026-08-10 13:46:06,현장직원,서대문,SP,H000105
2026-08-10 13:46:45,현장직원,서대문,SP,G000202
2026-08-10 13:47:20,현장직원,서대문,SP,G000204
2026-08-10 13:49:30,마스터관리자,전체,-,-
2026-08-10 13:51:08,지사관리자,강릉,-,-
2026-08-10 13:59:10,마스터관리자,전체,-,-
2026-08-10 14:11:13,마스터관리자,전체,-,-
2026-08-10 14:11:36,마스터관리자,전체,-,-
2026-08-10 14:20:31,마스터관리자,전체,-,-
2026-08-10 16:07:43,지사관리자,강릉,-,-
2026-08-10 16:47:08,현장직원,강릉,SP,P000103
2026-08-10 17:30:01,지사관리자,강릉,-,-
2026-08-10 18:15:01,현장직원,고양,SG,G000303
2026-08-10 18:27:45,현장직원,의정부,SP,G000506
2026-08-10 20:03:30,현장직원,의정부,SP,G000505
2026-08-10 20:11:28,현장직원,의정부,SP,G000505
2026-08-10 20:12:22,현장직원,의정부,SP,G000504
2026-08-10 20:13:06,현장직원,의정부,SP,G000505
2026-08-11 09:07:55,현장직원,의정부,SP,G000503
2026-08-11 10:41:38,현장직원,의정부,SP,G000503
2026-08-11 10:56:30,마스터관리자,전체,-,-
2026-08-11 10:58:36,현장직원,의정부,SP,G000503
2026-08-11 13:16:17,현장직원,의정부,SP,G000503
2026-08-11 15:35:14,지사관리자,강릉,-,-
2026-08-13 08:53:51,현장직원,의정부,SP,G000506
2026-08-13 08:55:02,현장직원,남양주,SP,G000605
2026-08-13 08:56:51,현장직원,강북,SP,G000107
2026-08-13 08:57:35,현장직원,의정부,SP,G000504
